"station_id","station_name","lon","lat","city","city_sn","town","town_sn"
"C0A520","山佳","121.393789","24.976719","新北市","06","樹林區","046"
"C0A560","福山","121.494583","24.778333","新北市","06","烏來區","061"
"C0R620","墾雷","120.847244","21.90265","屏東縣","20","恆春鎮","350"
"C0AC60","三峽","121.3615","24.940806","新北市","06","三峽區","057"
"C0X190","安平","120.144111","22.994972","臺南市","04","安平區","276"
"C0K390","土庫","120.387436","23.680772","雲林縣","16","土庫鎮","189"
"C0A880","福隆","121.934167","25.019167","新北市","06","貢寮區","027"
"C0UA70","桃源谷","121.880658","24.964408","宜蘭縣","07","頭城鎮","051"
"C0I530","小奇萊","121.287556","24.13355","南投縣","13","仁愛鄉","122"
"C0C660","楊梅","121.134833","24.914139","桃園市","08","楊梅區","056"
"C0G740","大城","120.312789","23.854225","彰化縣","14","大城鄉","169"
"C0M670","大林","120.450281","23.602361","嘉義縣","17","大林鎮","202"
"C0T9M0","靜浦","121.486667","23.456944","花蓮縣","21","豐濱鄉","188"
"C0X130","官田","120.307528","23.195028","臺南市","04","官田區","248"
"C0Z061","玉里","121.331556","23.323306","花蓮縣","21","玉里鎮","221"
"C0F9N0","大里","120.692194","24.094389","臺中市","02","大里區","141"
"C0M730","嘉義市東區","120.452408","23.459414","嘉義市","09","東區","217"
"C0M740","六腳","120.2825","23.494611","嘉義縣","17","六腳鄉","214"
"C0F9M0","豐原","120.712333","24.256306","臺中市","02","豐原區","117"
"C0U750","龜山島","121.944947","24.843392","宜蘭縣","07","頭城鎮","051"
"C0F9T0","西屯","120.632861","24.182028","臺中市","02","西屯區","125"
"C0M530","奮起湖","120.691111","23.495833","嘉義縣","17","竹崎鄉","215"
"C0K400","斗六","120.532972","23.722303","雲林縣","16","斗六市","355"
"C0T9A0","月眉山","121.531686","23.811736","花蓮縣","21","壽豐鄉","161"
"C0K460","斗南","120.470231","23.680478","雲林縣","16","斗南鎮","193"
"C0S710","鹿野","121.114908","22.919517","臺東縣","22","鹿野鄉","274"
"C0I370","魚池","120.933219","23.897478","南投縣","13","魚池鄉","164"
"C0V400","阿公店","120.347444","22.805944","高雄市","05","燕巢區","296"
"C0S750","向陽","120.978056","23.25","臺東縣","22","海端鄉","240"
"C0M680","太保","120.323303","23.456792","嘉義縣","17","太保市","218"
"C0R650","竹田","120.535392","22.586642","屏東縣","20","竹田鄉","322"
"C0X100","臺南市北區","120.186333","23.012167","臺南市","04","北區","357"
"C0E740","造橋","120.856583","24.63875","苗栗縣","11","造橋鄉","090"
"C0X220","學甲","120.174072","23.2321","臺南市","04","學甲區","239"
"C0E550","明德","120.877222","24.58525","苗栗縣","11","頭屋鄉","094"
"C0UA40","西德山","121.744417","24.562447","宜蘭縣","07","南澳鄉","093"
"C0R560","新園","120.4535","22.545194","屏東縣","20","新園鄉","333"
"C0X060","下營","120.248153","23.228686","臺南市","04","下營區","242"
"C0K560","棋山","120.595289","23.688211","雲林縣","16","古坑鄉","196"
"C0R510","萬丹","120.482389","22.589611","屏東縣","20","萬丹鄉","327"
"C0F9P0","清水","120.554083","24.314028","臺中市","02","清水區","112"
"C0AH40","平等","121.568856","25.130925","臺北市","01","士林區","007"
"C0R150","三地門","120.631889","22.711667","屏東縣","20","內埔鄉","310"
"C0O970","虎頭埤","120.339806","23.023139","臺南市","04","新化區","267"
"C0G720","溪州","120.490944","23.853347","彰化縣","14","溪州鄉","174"
"C0F0B0","石岡","120.769478","24.277822","臺中市","02","石岡區","116"
"C0S690","太麻里","120.977275","22.610825","臺東縣","22","太麻里鄉","312"
"C0R170","屏東","120.483611","22.661944","屏東縣","20","屏東市","309"
"C0G890","伸港","120.476167","24.150528","彰化縣","14","伸港鄉","126"
"C0U870","大礁溪","121.666839","24.792836","宜蘭縣","07","礁溪鄉","065"
"C0X280","將軍","120.127656","23.216733","臺南市","04","將軍區","245"
"C0AC40","大屯山","121.514167","25.177333","臺北市","01","北投區","006"
"C0I540","奇萊稜線A","121.318297","24.111019","南投縣","13","仁愛鄉","122"
"C0I420","國姓","120.846925","24.039567","南投縣","13","國姓鄉","139"
"C0V620","永安","120.228806","22.824944","高雄市","05","永安區","293"
"C0R470","高樹","120.592722","22.828222","屏東縣","20","高樹鄉","290"
"C0K430","褒忠","120.295503","23.692672","雲林縣","16","褒忠鄉","191"
"C0H960","草屯","120.672194","23.975444","南投縣","13","草屯鎮","152"
"C0A930","三和","121.586997","25.234933","新北市","06","金山區","003"
"C0Z100","東華","121.541694","23.897056","花蓮縣","21","壽豐鄉","161"
"C0AI00","五股","121.419053","25.076228","新北市","06","五股區","017"
"C0V350","溪埔","120.438611","22.740278","高雄市","05","大樹區","300"
"C0V500","旗津","120.277889","22.590417","高雄市","05","旗津區","329"
"C0Z170","卓溪","121.295197","23.346047","花蓮縣","21","卓溪鄉","207"
"C0U710","太平山","121.5175","24.507222","宜蘭縣","07","大同鄉","081"
"C0W120","西嶼","119.460328","23.564311","澎湖縣","23","西嶼鄉","200"
"C0M770","嘉義梅山","120.547464","23.587147","嘉義縣","17","梅山鄉","210"
"C0A9B0","石牌","121.505889","25.117583","臺北市","01","北投區","006"
"C0F9Y0","桃山A","121.295628","24.434519","臺中市","02","和平區","104"
"C0E790","卓蘭","120.816194","24.314833","苗栗縣","11","卓蘭鎮","109"
"C0O810","曾文","120.489222","23.221472","臺南市","04","楠西區","246"
"C0R520","崁頂","120.498972","22.516639","屏東縣","20","崁頂鄉","334"
"C0G880","二水","120.609028","23.812778","彰化縣","14","二水鄉","177"
"C0X270","柳營","120.365458","23.258981","臺南市","04","柳營區","238"
"C0G840","北斗","120.506528","23.879222","彰化縣","14","北斗鎮","171"
"C0Z220","和平林道","121.648142","24.345722","花蓮縣","21","秀林鄉","108"
"C0R260","春日","120.62025","22.372167","屏東縣","20","春日鄉","343"
"C0U770","南澳","121.802036","24.451153","宜蘭縣","07","南澳鄉","093"
"C0U950","鶯子嶺","121.784231","24.899333","宜蘭縣","07","頭城鎮","051"
"C0A950","鼻頭角","121.915278","25.130833","新北市","06","瑞芳區","018"
"C0G760","高鐵彰化","120.566469","23.877003","彰化縣","14","田中鎮","170"
"C0Z080","富源","121.370389","23.58975","花蓮縣","21","光復鄉","194"
"C0X110","臺南市南區","120.180417","22.963028","臺南市","04","南區","281"
"C0D560","竹東","121.049861","24.76925","新竹縣","10","竹東鎮","073"
"C0V310","美濃","120.511111","22.900556","高雄市","05","美濃區","282"
"C0G640","鹿港","120.422222","24.076944","彰化縣","14","鹿港鎮","140"
"C0G620","芬園","120.613056","24.017222","彰化縣","14","芬園鄉","148"
"C0S890","關山","121.166931","23.0413","臺東縣","22","關山鎮","262"
"C0K240","草嶺","120.685342","23.597319","雲林縣","16","古坑鄉","196"
"C0AD50","鶯歌","121.33725","24.953","新北市","06","鶯歌區","054"
"C0X200","左鎮","120.400444","23.058528","臺南市","04","左鎮區","266"
"C0I380","集集","120.793328","23.829972","南投縣","13","集集鎮","176"
"C0A9A0","大直","121.534722","25.079722","臺北市","01","中山區","026"
"C0U900","內城","121.679461","24.719928","宜蘭縣","07","員山鄉","074"
"C0O830","北寮","120.486944","23.081611","臺南市","04","南化區","244"
"C0F9U0","南屯","120.630111","24.138861","臺中市","02","南屯區","129"
"C0T820","天祥","121.4875","24.181389","花蓮縣","21","秀林鄉","108"
"C0S760","紅石","121.12","23.071389","臺東縣","22","海端鄉","240"
"C0Z020","明里","121.254167","23.210556","花蓮縣","21","富里鄉","241"
"C0Z230","和平","121.761903","24.308961","花蓮縣","21","秀林鄉","108"
"C0X160","仁德","120.249778","22.970111","臺南市","04","仁德區","279"
"C0C490","八德","121.275","24.930528","桃園市","08","八德區","052"
"C0F9O0","潭子","120.695833","24.21475","臺中市","02","潭子區","123"
"CM0010","花博豐原","120.707025","24.258617","臺中市","02","豐原區","117"
"C0Z190","富世","121.621542","24.149236","花蓮縣","21","秀林鄉","108"
"C0C540","大園","121.217778","25.049444","桃園市","08","大園區","019"
"C0F970","大坑","120.714139","24.174889","臺中市","02","北屯區","124"
"C0M520","東後寮","120.239936","23.371644","嘉義縣","17","義竹鄉","229"
"C0F9I0","神岡","120.650306","24.274222","臺中市","02","神岡區","114"
"C0M690","水上","120.380792","23.421475","嘉義縣","17","水上鄉","223"
"C0G770","福興","120.429528","24.042972","彰化縣","14","福興鄉","145"
"C0V690","鼓山","120.2675","22.625139","高雄市","05","鼓山區","316"
"C0D360","梅花","121.200361","24.680119","新竹縣","10","尖石鄉","077"
"C0Z210","瑞穗","121.382086","23.525708","花蓮縣","21","瑞穗鄉","209"
"C0V670","楠梓","120.277917","22.721528","高雄市","05","楠梓區","305"
"C0Z290","赤柯山","121.374825","23.370733","花蓮縣","21","玉里鎮","221"
"C0C680","龜山","121.378336","25.030231","桃園市","08","龜山區","034"
"C0A870","五指山","121.600278","25.133889","新北市","06","汐止區","014"
"C0C650","平鎮","121.206389","24.899444","桃園市","08","平鎮區","055"
"C0R220","潮州","120.531972","22.536139","屏東縣","20","潮州鎮","332"
"C0A530","坪林","121.701531","24.939975","新北市","06","坪林區","053"
"C0X140","西港","120.195083","23.127417","臺南市","04","西港區","256"
"C0R600","舊泰武","120.656922","22.58995","屏東縣","20","泰武鄉","318"
"C0V710","苓雅","120.322583","22.624528","高雄市","05","苓雅區","323"
"C0G870","芳苑","120.311861","23.924","彰化縣","14","芳苑鄉","149"
"C0R550","新埤","120.574833","22.469778","屏東縣","20","新埤鄉","336"
"C0F0E0","南湖圈谷A","121.436489","24.365503","臺中市","02","和平區","104"
"C0E820","獅潭","120.911972","24.541028","苗栗縣","11","獅潭鄉","095"
"C0Z320","清水林道","121.180172","23.273047","花蓮縣","21","卓溪鄉","207"
"C0V210","復興","120.797778","23.224167","高雄市","05","桃源區","353"
"C0K450","大埤","120.4234","23.647817","雲林縣","16","大埤鄉","199"
"C0R160","鹽埔新圍","120.522697","22.741342","屏東縣","20","鹽埔鄉","301"
"C0V680","仁武","120.339667","22.702861","高雄市","05","仁武區","306"
"C0F9L0","后里","120.7215","24.312111","臺中市","02","后里區","111"
"C0M820","達邦","120.741403","23.455769","嘉義縣","17","阿里山鄉","208"
"C0F9S0","烏日","120.615917","24.108833","臺中市","02","烏日區","137"
"C0O840","王爺宮","120.392758","23.223828","臺南市","04","六甲區","243"
"C0R530","林邊","120.502083","22.432667","屏東縣","20","林邊鄉","340"
"C0A660","瑞芳","121.792639","25.114861","新北市","06","瑞芳區","018"
"C0A890","雙溪","121.856056","25.037861","新北市","06","雙溪區","024"
"C0T9H0","加路蘭山","121.519219","23.684706","花蓮縣","21","豐濱鄉","188"
"C0O980","新市","120.290417","23.063556","臺南市","04","新市區","263"
"C0T9I0","豐濱","121.506678","23.585708","花蓮縣","21","豐濱鄉","188"
"C0V760","橋頭","120.297694","22.759583","高雄市","05","橋頭區","299"
"C0AG90","中和","121.482222","24.994472","新北市","06","中和區","048"
"C0R570","麟洛","120.519139","22.652556","屏東縣","20","麟洛鄉","317"
"C0O900","善化","120.289444","23.114444","臺南市","04","善化區","255"
"C0AD00","三芝","121.493361","25.259639","新北市","06","三芝區","002"
"C0A920","富貴角","121.557278","25.265556","新北市","06","石門區","001"
"C0X260","後壁","120.354211","23.368094","臺南市","04","後壁區","230"
"C0V700","三民","120.303278","22.646917","高雄市","05","三民區","314"
"C0K250","崙背","120.310833","23.7575","雲林縣","16","崙背鄉","181"
"C0K550","蔦松","120.221625","23.516064","雲林縣","16","水林鄉","204"
"C0AH00","汐止","121.650556","25.068667","新北市","06","汐止區","014"
"C0Z300","東里","121.297364","23.270336","花蓮縣","21","富里鄉","241"
"C0I410","名間","120.693306","23.838817","南投縣","13","名間鄉","173"
"C0X080","佳里","120.136667","23.175","臺南市","04","佳里區","250"
"C0I480","梅峰","121.165414","24.087056","南投縣","13","仁愛鄉","122"
"C0V250","甲仙","120.5825","23.081667","高雄市","05","甲仙區","251"
"C0M410","馬頭山","120.573611","23.326389","嘉義縣","17","大埔鄉","233"
"C0A860","大坪","121.62475","25.167694","新北市","06","萬里區","005"
"C0G730","二林","120.367928","23.905067","彰化縣","14","二林鎮","155"
"C0O950","安南","120.136667","23.078333","臺南市","04","安南區","265"
"C0U940","羅東","121.741144","24.683636","宜蘭縣","07","羅東鎮","086"
"C0F9Z0","雪山東峰A","121.263286","24.390581","臺中市","02","和平區","104"
"C0R350","貓鼻頭","120.727792","21.923578","屏東縣","20","恆春鎮","350"
"C0V260","月眉","120.531778","22.972778","高雄市","05","杉林區","269"
"C0V730","大寮","120.387667","22.607389","高雄市","05","大寮區","320"
"C0U650","玉蘭","121.578889","24.677222","宜蘭縣","07","大同鄉","081"
"C0H990","昆陽","121.265361","24.123139","南投縣","13","仁愛鄉","122"
"C0E420","竹南","120.880833","24.710833","苗栗縣","11","竹南鎮","079"
"C0F9K0","大安","120.579972","24.347444","臺中市","02","大安區","107"
"C0ACA0","新莊","121.438528","25.05325","新北市","06","新莊區","033"
"C0D660","新竹市東區","120.978742","24.800436","新竹市","15","東區","070"
"C0AH90","福山植物園","121.573147","24.762506","新北市","06","烏來區","061"
"C0S900","蘭嶼高中","121.504119","22.050931","臺東縣","22","蘭嶼鄉","351"
"C0W150","金寧","118.320831","24.459339","金門縣","99","金寧鄉","999"
"C0E540","後龍","120.775556","24.608056","苗栗縣","11","後龍鎮","091"
"C0T9F0","水璉","121.534167","23.798889","花蓮縣","21","壽豐鄉","161"
"C0F000","大肚","120.564","24.154667","臺中市","02","大肚區","127"
"C0W170","東引","120.475308","26.360539","連江縣","99","東引鄉","999"
"C0K410","北港","120.283672","23.575803","雲林縣","16","北港鎮","203"
"C0C480","桃園","121.315044","24.994256","桃園市","08","桃園區","042"
"C0R140","瑪家","120.678889","22.684722","屏東縣","20","瑪家鄉","308"
"C0Z150","吉安光華","121.587003","23.932733","花蓮縣","21","吉安鄉","154"
"C0S830","長濱","121.403889","23.288611","臺東縣","22","長濱鄉","227"
"C0D390","關西","121.165694","24.800111","新竹縣","10","關西鎮","068"
"C0V720","林園","120.386556","22.509583","高雄市","05","林園區","335"
"C0V640","湖內","120.236444","22.888889","高雄市","05","湖內區","285"
"C0S840","南田","120.881944","22.291944","臺東縣","22","達仁鄉","337"
"C0X180","山上","120.355194","23.077444","臺南市","04","山上區","260"
